Symbol	Description
1A0	Katrina Group Ltd.
1A1	Wong Fong Industries Limited
1A4	Agv Group Limited
1AZ	Audience
1B0	Mm2 Asia Ltd.
1B1	Hc Surgical Specialistslimited
1B6	Ocean Sky International Ltd
1C0	Cedar Strategic Holdings Ltd
1C5	Pacific Star Development Ltd
1D0	Kimly Limited
1D1	Unusual Limited
1D3	Lifebrandz Ltd.
1D4	Aoxin Q & M Dental Grp Limited
1D5	Capital World Limited.
1D8	Singapore O&g Ltd.
1E3	Sanli Environmental Limited
1F0	Shopper360 Limited
1F1	Y Ventures Group Ltd.
1F2	Union Gas Holdings Limited
1F3	Aspen (group) Holdings Limited
1G1	Re&s Holdings Limited
1G5W	Cwx Global Limited W221213
1G6	No Signboard Holdings Ltd.
1G7W	Amplefield Limited W221218
1H2	Olive Tree Estates Limited
1H3	Clearbridge Health Limited
1H4	Memories Group Limited
1H7W	Asia-pacific Strategic W230130
1H8	Ly Corporation Limited
1J0	Slb Development Ltd.
1J1W	Pine Capital Group W230506
1J3	Asian Healthcare Specialists
1J4	Jep Holdings Ltd.
1J5	Hyphens Pharma Intl Limited
1J7	Jawala Inc.
1N3W	Hsi 25600mbecw220428
1R6	Avi-tech Hldg
1V3	Mooreast
1Y1	Vikingoffshore
3UJS	Ny09100h 240901
40B	Smj International Holdingsltd.
40D	Starburst Holdings Limited
40E	Spackman Entertainment Grp Ltd
40F	Alliance Mineral Assetslimited
40N	Versalink Holdings Limited
40T	Isec Healthcare Ltd.
40U	Ms Holdings Limited
40V	Singapore Edevelopment Ltd
40W	Zico Holdings Inc.
41B	Huationg Global Limited
41F	Gss Energy Limited
41H	Blackgold Natural Resourcesltd
41O	Lhn Limited
41S	Magnus Energy Group Ltd.
41T	Gccp Resources Limited
42C	Ix Biopharma Ltd.
42D	Nauticawt Limited
42E	Choo Chiang Holdings Ltd.
42F	Cmc Infocomm Limited
42L	Tlv Holdings Limited
42N	Ips Securex Holdings Limited
42R	Jumbo Group Limited
42S	Astaka Holdings Limited
42T	The Trendlines Group Ltd.
42U	Axcelasia Inc.
42W	China Star Food Group Limited
42Z	Eindec Corporation Limited
43A	Gs Holdings Limited
43B	Secura Group Limited
43E	Anchor Resources Limited
43F	Acromec Limited
43P	United Global Limited
43Q	Advancer Global Limited
