Symbol,Description,New Symbols
P40U,Starhill Global Reit,P40U.SI
P52,Pan-united Corporation Ltd,P52.SI
P58,Lyxor China H 10,P58.SI
P5P,Cimb S&p Asia Pacific Dividend,P5P.SI
P60,Lyxor Asia 10,P60.SI
P74,China Kangda Food Company Ltd,P74.SI
P7VU,Hutchison Port Hldgs Trust S$,P7VU.SI
P8A,Cordlife Group Limited,P8A.SI
P8Z,Bumitama Agri Ltd.,P8Z.SI
P9D,Civmec Limited,P9D.SI
PA3,Ta Corporation Ltd,PA3.SI
PGU,Pegasus Spac U,PGU.SI
PH0,Hatten Land,PH0.SI
PRH,Citicode Ltd,PRH.SI
PU6D,Hsbc Adr 10,PU6D.SI
Q01,Qaf Ltd,Q01.SI
Q0F,Ihh Healthcare Berhad,Q0F.SI
Q0X,Ultro Technologies Limited,Q0X.SI
Q5T,Far East Hospitality Trust,Q5T.SI
QC7,Q & M Dental Group (s) Limited,QC7.SI
QES,Chinasunsine,QES.SI
QK9,Is Msci India 100 S$,QK9.SI
QL2,Ishares Usd Asia Bond Etf S$,QL2.SI
QL3,Ishares Usd Asia Hy Bond Etfs$,QL3.SI
QNS,Southernalliance,QNS.SI
QR9,Cimb S&p Asia Pac Dividend S$,QR9.SI
QS0,Cimb Ft Asean 40 100 S$,QS0.SI
QS9,Radiance Group Limited,QS9.SI
QSD,Resources Gbl,QSD.SI
QZG,Accrelist Ltd,QZG.SI
R14,Ramba Energy Limited,R14.SI
RC5,Triyards Holdings Limited,RC5.SI
RCU,Revez,RCU.SI
RDR,Incredible,RDR.SI
RE4,Geo Energy Resources Limited,RE4.SI
RQ1,Overseas Education Limited,RQ1.SI
RS1,China Environmental Res Gp Ltd,RS1.SI
RW0U,Mapletree Greater Chinacomm Tr,RW0U.SI
S07,Shangri-la Asia Limited,S07.SI
S08,Singapore Post Limited,S08.SI
S19,Singapore Shipping Corp Ltd,S19.SI
S20,Straits Trading Co. Ltd,S20.SI
S23,Singapura Finance Ltd,S23.SI
S27,Spdr S&p 500 Etf Trust,S27.SI
S29,Stamford Tyres Corporationltd,S29.SI
S35,Sing Investments & Finance Ltd,S35.SI
S3N,Okh Global Ltd.,S3N.SI
S41,Hong Leong Finance Limited,S41.SI
S44,Engro Corporation Limited,S44.SI
S45U,Singapore Index Fund,S45U.SI
S51,Sembcorp Marine Ltd,S51.SI
S56,Samudera Shipping Line Ltd,S56.SI
S58,Sats Ltd.,S58.SI
S59,Sia Engineering Co Ltd,S59.SI
S61,Sbs Transit Ltd,S61.SI
S63,Singapore Tech Engineering Ltd,S63.SI
S68,Singapore Exchange Limited,S68.SI
S69,Serial System Ltd,S69.SI
S71,Sunright Ltd,S71.SI
S7OU,Asian Pay Television Trust,S7OU.SI
S7P,Soilbuild Construction Grp Ltd,S7P.SI
S85,Straco Corporation Limited,S85.SI
S9B,Tee Land Limited,S9B.SI
SES,Cph Ltd.,SES
SJY,Megroup Ltd.,SJY
SK6U,Sph Reit,SK6U.SI
SRT,Csop Iedge Sreit Etf S$,SRT
SSS,Phil Short Simsci-1x S$,SSS.SI
SSU,Phil Short Simsci-1x Us$,SSU
STG,Sri Trang Gloves,STG
STP,Silkroad Nickel Ltd.,STP
SYM,Memiontec,SYM
T09,Tt International Limited,T09.SI
T12,Tat Seng Packaging Group Ltd,T12.SI
T13,Rh Petrogas Limited,T13.SI
T14,Tianjin Zhong Xin Pharm Group,T14.SI
T15,Tan Chong Int'l Ltd,T15.SI
T24,Tuan Sing Holdings Limited,T24.SI
T39,Singapore Press Hldgs Ltd,T39.SI
T41,Telechoice International Ltd,T41.SI
T43,Techcomp (holdings) Limited,T43.SI
T4B,Sino Grandness Food Ind Gp Ltd,T4B.SI
T55,Transpac Industrial Hldgs Ltd,T55.SI
T6I,Valuemax Group Limited,T6I.SI
T82U,Suntec Real Estate Inv Trust,T82U.SI
T8V,Pacific Radiance Ltd.,T8V.SI
TCU,Creditbureauasia,TCU.SI
THVW,Alibaba Mb Ecw220404,THVW
TID,Xt Mschina S$,TID.SI
TQ5,Frasers Centrepoint Limited,TQ5.SI
TS0U,Oue Commercial Reit,TS0U.SI
TVV,Artivision,TVV.SI
U06,United Industrial Corp Ltd,U06.SI
U09,Upp Holdings Limited,U09.SI
U10,Uob-kay Hian Holdings Limited,U10.SI
U11,United Overseas Bank Ltd,U11.SI
U13,United Overseas Insurance Ltd,U13.SI
U14,Uol Group Limited,U14.SI
U77,Sarin Technologies Ltd,U77.SI
U96,Sembcorp Industries Ltd,U96.SI
U9E,Hankore Environment Tec Grpltd,U9E.SI
UD1U,Ireit Global,UD1U.SI
UD2,Japfa Ltd.,UD2.SI
URR,Sim Leisure Group Ltd.,URR
UV1,Hisaka Holdings Ltd.,UV1.SI
V03,Venture Corporation Limited,V03.SI
V2Y,Synagie Corporation Ltd.,V2Y.SI
V3M,Metech International Ltd,V3M.SI
VFP,China Medical (intl) Gp Ltd,VFP.SI
VI2,Tc Auto,VI2.SI
VL6,Koufu Group Limited,VL6.SI
VTA,Vertex Spac U,VTA.SI
VVL,Alphadx,VVL.SI
W05,Wing Tai Hldgs Ltd,W05.SI
WJP,Vicom Ltd,WJP.SI
WPC,Vallianz Holdings Ltd,WPC
XCF,Ktmg Limited,XCF
XJB,Ghy Culture,XJB.SI
XVG,$ Aedge Group,XVG.SI
XZL,Ara Us Hospitality Trust,XZL
Y03,Yeo Hiap Seng Ltd,Y03.SI
Y06,Youcan Foods International Ltd,Y06.SI
Y35,Sun East Group Limited,Y35.SI
Y3D,Mdr Limited,Y3D.SI
Y45,Singapore Windsor Holdings Ltd,Y45.SI
Y8E,Samurai 2k,Y8E.SI
Y92,Thai Beverage Public Co Ltd,Y92.SI
YYB,Arion Entertainment Spore Ltd,YYB
YYN,Platocapital,YYN.SI
YYR,Lion-ospl China L Cny,YYR.SI
YYY,Lion-ospl China L S$,YYY
Z25,Yanlord Land Group Limited,Z25.SI
Z59,Yoma Strategic Holdings Ltd,Z59.SI
Z74,Singtel,Z74.SI
Z77,Singtel 10,Z77.SI
ZHS,Nikkoam-icbcsg Cnb S$,ZHS.SI
ZHY,Nikkoam-icbcsg Cnb Cny,ZHY.SI
ZXY,Alpina Holdings,ZXY.SI
